City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
350,betio village,1.358,172.9211,27.85,75,98,2.41,KI,1693256087
351,forster,-32.1667,152.5167,11.56,90,14,1.99,AU,1693256088
352,kamaishi,39.2667,141.8833,24.25,92,100,0.58,JP,1693256088
353,purranque,-40.9167,-73.1667,12.63,74,88,0.82,CL,1693256088
354,las tablas,7.7667,-80.2833,29.87,71,85,1.06,PA,1693256088
355,santana,-0.0583,-51.1817,33.1,49,20,4.63,BR,1693256088
356,fengxiang,47.5833,130.8333,14.57,91,100,1.88,CN,1693256088
357,belmonte,-15.8631,-38.8828,23.09,91,99,4.1,BR,1693256089
358,tevriz,57.509,72.4042,12.48,98,100,2.79,RU,1693256089
359,barrouallie,13.2333,-61.2667,28.79,79,40,2.57,VC,1693256089
360,turabah,21.2141,41.6331,31.98,22,99,5.65,SA,1693256089
